fetched_at,feed,header_timestamp,bytes,entities,trip_updates,vehicles,alerts,archived
2026-09-10T21:08:30+00:00,trip-updates,1789074479,13,0,0,0,0,data/raw/2026-09-10/trip-updates-210759.pb
2026-09-10T21:08:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:10:30+00:00,trip-updates,1789074593,13,0,0,0,0,data/raw/2026-09-10/trip-updates-210953.pb
2026-09-10T21:10:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:12:30+00:00,trip-updates,1789074714,13,0,0,0,0,data/raw/2026-09-10/trip-updates-211154.pb
2026-09-10T21:12:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:14:30+00:00,trip-updates,1789074833,13,0,0,0,0,data/raw/2026-09-10/trip-updates-211353.pb
2026-09-10T21:14:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:16:30+00:00,trip-updates,1789074953,13,0,0,0,0,data/raw/2026-09-10/trip-updates-211553.pb
2026-09-10T21:16:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:18:30+00:00,trip-updates,1789075074,13,0,0,0,0,data/raw/2026-09-10/trip-updates-211754.pb
2026-09-10T21:18:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:20:30+00:00,trip-updates,1789075193,13,0,0,0,0,data/raw/2026-09-10/trip-updates-211953.pb
2026-09-10T21:20:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:22:30+00:00,trip-updates,1789075313,13,0,0,0,0,data/raw/2026-09-10/trip-updates-212153.pb
2026-09-10T21:22:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:24:30+00:00,trip-updates,1789075433,13,0,0,0,0,data/raw/2026-09-10/trip-updates-212353.pb
2026-09-10T21:24:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:26:30+00:00,trip-updates,1789075554,13,0,0,0,0,data/raw/2026-09-10/trip-updates-212554.pb
2026-09-10T21:26:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:28:30+00:00,trip-updates,1789075673,13,0,0,0,0,data/raw/2026-09-10/trip-updates-212753.pb
2026-09-10T21:28:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:30:30+00:00,trip-updates,1789075793,13,0,0,0,0,data/raw/2026-09-10/trip-updates-212953.pb
2026-09-10T21:30:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:32:30+00:00,trip-updates,1789075913,13,0,0,0,0,data/raw/2026-09-10/trip-updates-213153.pb
2026-09-10T21:32:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:34:30+00:00,trip-updates,1789076033,13,0,0,0,0,data/raw/2026-09-10/trip-updates-213353.pb
2026-09-10T21:34:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:36:30+00:00,trip-updates,1789076153,13,0,0,0,0,data/raw/2026-09-10/trip-updates-213553.pb
2026-09-10T21:36:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:38:30+00:00,trip-updates,1789076273,13,0,0,0,0,data/raw/2026-09-10/trip-updates-213753.pb
2026-09-10T21:38:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:40:30+00:00,trip-updates,1789076390,13,0,0,0,0,data/raw/2026-09-10/trip-updates-213950.pb
2026-09-10T21:40:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:42:31+00:00,trip-updates,1789076513,13,0,0,0,0,data/raw/2026-09-10/trip-updates-214153.pb
2026-09-10T21:42:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:44:30+00:00,trip-updates,1789076635,13,0,0,0,0,data/raw/2026-09-10/trip-updates-214355.pb
2026-09-10T21:44:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:46:30+00:00,trip-updates,1789076754,13,0,0,0,0,data/raw/2026-09-10/trip-updates-214554.pb
2026-09-10T21:46:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:48:34+00:00,trip-updates,1789076868,13,0,0,0,0,data/raw/2026-09-10/trip-updates-214748.pb
2026-09-10T21:48:35+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:50:30+00:00,trip-updates,1789076984,13,0,0,0,0,data/raw/2026-09-10/trip-updates-214944.pb
2026-09-10T21:50:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:52:30+00:00,trip-updates,1789077115,13,0,0,0,0,data/raw/2026-09-10/trip-updates-215155.pb
2026-09-10T21:52:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:54:30+00:00,trip-updates,1789077234,13,0,0,0,0,data/raw/2026-09-10/trip-updates-215354.pb
2026-09-10T21:54:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:56:30+00:00,trip-updates,1789077355,13,0,0,0,0,data/raw/2026-09-10/trip-updates-215555.pb
2026-09-10T21:56:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T21:58:30+00:00,trip-updates,1789077473,13,0,0,0,0,data/raw/2026-09-10/trip-updates-215753.pb
2026-09-10T21:58:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:00:30+00:00,trip-updates,1789077590,13,0,0,0,0,data/raw/2026-09-10/trip-updates-215950.pb
2026-09-10T22:00:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:02:30+00:00,trip-updates,1789077724,13,0,0,0,0,data/raw/2026-09-10/trip-updates-220204.pb
2026-09-10T22:02:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:04:30+00:00,trip-updates,1789077835,13,0,0,0,0,data/raw/2026-09-10/trip-updates-220355.pb
2026-09-10T22:04:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:06:30+00:00,trip-updates,1789077954,13,0,0,0,0,data/raw/2026-09-10/trip-updates-220554.pb
2026-09-10T22:06:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:08:30+00:00,trip-updates,1789078074,13,0,0,0,0,data/raw/2026-09-10/trip-updates-220754.pb
2026-09-10T22:08:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:10:30+00:00,trip-updates,1789078150,13,0,0,0,0,data/raw/2026-09-10/trip-updates-220910.pb
2026-09-10T22:10:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:12:30+00:00,trip-updates,1789078315,13,0,0,0,0,data/raw/2026-09-10/trip-updates-221155.pb
2026-09-10T22:12:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:14:30+00:00,trip-updates,1789078433,13,0,0,0,0,data/raw/2026-09-10/trip-updates-221353.pb
2026-09-10T22:14:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:16:30+00:00,trip-updates,1789078555,13,0,0,0,0,data/raw/2026-09-10/trip-updates-221555.pb
2026-09-10T22:16:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:18:30+00:00,trip-updates,1789078674,13,0,0,0,0,data/raw/2026-09-10/trip-updates-221754.pb
2026-09-10T22:18:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:20:30+00:00,trip-updates,1789078793,13,0,0,0,0,data/raw/2026-09-10/trip-updates-221953.pb
2026-09-10T22:20:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:22:32+00:00,trip-updates,1789078917,13,0,0,0,0,data/raw/2026-09-10/trip-updates-222157.pb
2026-09-10T22:22:33+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:24:30+00:00,trip-updates,1789079020,13,0,0,0,0,data/raw/2026-09-10/trip-updates-222340.pb
2026-09-10T22:24:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:26:30+00:00,trip-updates,1789079140,13,0,0,0,0,data/raw/2026-09-10/trip-updates-222540.pb
2026-09-10T22:26:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:28:30+00:00,trip-updates,1789079274,13,0,0,0,0,data/raw/2026-09-10/trip-updates-222754.pb
2026-09-10T22:28:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:30:30+00:00,trip-updates,1789079392,13,0,0,0,0,data/raw/2026-09-10/trip-updates-222952.pb
2026-09-10T22:30:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:32:30+00:00,trip-updates,1789079512,13,0,0,0,0,data/raw/2026-09-10/trip-updates-223152.pb
2026-09-10T22:32:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:34:30+00:00,trip-updates,1789079633,13,0,0,0,0,data/raw/2026-09-10/trip-updates-223353.pb
2026-09-10T22:34:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:36:31+00:00,trip-updates,1789079753,13,0,0,0,0,data/raw/2026-09-10/trip-updates-223553.pb
2026-09-10T22:36:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:38:30+00:00,trip-updates,1789079872,13,0,0,0,0,data/raw/2026-09-10/trip-updates-223752.pb
2026-09-10T22:38:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:40:30+00:00,trip-updates,1789079977,13,0,0,0,0,data/raw/2026-09-10/trip-updates-223937.pb
2026-09-10T22:40:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:42:31+00:00,trip-updates,1789080105,13,0,0,0,0,data/raw/2026-09-10/trip-updates-224145.pb
2026-09-10T22:42:32+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:44:31+00:00,trip-updates,1789080219,13,0,0,0,0,data/raw/2026-09-10/trip-updates-224339.pb
2026-09-10T22:44:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:46:31+00:00,trip-updates,1789080355,13,0,0,0,0,data/raw/2026-09-10/trip-updates-224555.pb
2026-09-10T22:46:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:48:31+00:00,trip-updates,1789080475,13,0,0,0,0,data/raw/2026-09-10/trip-updates-224755.pb
2026-09-10T22:48:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:50:30+00:00,trip-updates,1789080594,13,0,0,0,0,data/raw/2026-09-10/trip-updates-224954.pb
2026-09-10T22:50:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:52:31+00:00,trip-updates,1789080715,13,0,0,0,0,data/raw/2026-09-10/trip-updates-225155.pb
2026-09-10T22:52:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:54:31+00:00,trip-updates,1789080835,13,0,0,0,0,data/raw/2026-09-10/trip-updates-225355.pb
2026-09-10T22:54:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:56:31+00:00,trip-updates,1789080953,13,0,0,0,0,data/raw/2026-09-10/trip-updates-225553.pb
2026-09-10T22:56:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T22:58:31+00:00,trip-updates,1789081073,13,0,0,0,0,data/raw/2026-09-10/trip-updates-225753.pb
2026-09-10T22:58:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:00:31+00:00,trip-updates,1789081192,13,0,0,0,0,data/raw/2026-09-10/trip-updates-225952.pb
2026-09-10T23:00:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:02:31+00:00,trip-updates,1789081314,13,0,0,0,0,data/raw/2026-09-10/trip-updates-230154.pb
2026-09-10T23:02:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:04:31+00:00,trip-updates,1789081433,13,0,0,0,0,data/raw/2026-09-10/trip-updates-230353.pb
2026-09-10T23:04:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:06:31+00:00,trip-updates,1789081553,13,0,0,0,0,data/raw/2026-09-10/trip-updates-230553.pb
2026-09-10T23:06:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:08:31+00:00,trip-updates,1789081673,13,0,0,0,0,data/raw/2026-09-10/trip-updates-230753.pb
2026-09-10T23:08:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:10:31+00:00,trip-updates,1789081780,13,0,0,0,0,data/raw/2026-09-10/trip-updates-230940.pb
2026-09-10T23:10:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:12:31+00:00,trip-updates,1789081897,13,0,0,0,0,data/raw/2026-09-10/trip-updates-231137.pb
2026-09-10T23:12:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:14:31+00:00,trip-updates,1789082020,13,0,0,0,0,data/raw/2026-09-10/trip-updates-231340.pb
2026-09-10T23:14:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:16:31+00:00,trip-updates,1789082154,13,0,0,0,0,data/raw/2026-09-10/trip-updates-231554.pb
2026-09-10T23:16:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:18:31+00:00,trip-updates,1789082273,13,0,0,0,0,data/raw/2026-09-10/trip-updates-231753.pb
2026-09-10T23:18:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:20:31+00:00,trip-updates,1789082393,13,0,0,0,0,data/raw/2026-09-10/trip-updates-231953.pb
2026-09-10T23:20:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:22:31+00:00,trip-updates,1789082513,13,0,0,0,0,data/raw/2026-09-10/trip-updates-232153.pb
2026-09-10T23:22:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:24:31+00:00,trip-updates,1789082631,13,0,0,0,0,data/raw/2026-09-10/trip-updates-232351.pb
2026-09-10T23:24:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:26:31+00:00,trip-updates,1789082755,13,0,0,0,0,data/raw/2026-09-10/trip-updates-232555.pb
2026-09-10T23:26:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:28:31+00:00,trip-updates,1789082873,13,0,0,0,0,data/raw/2026-09-10/trip-updates-232753.pb
2026-09-10T23:28:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:30:31+00:00,trip-updates,1789082993,13,0,0,0,0,data/raw/2026-09-10/trip-updates-232953.pb
2026-09-10T23:30:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:32:31+00:00,trip-updates,1789083116,13,0,0,0,0,data/raw/2026-09-10/trip-updates-233156.pb
2026-09-10T23:32:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:34:31+00:00,trip-updates,1789083220,13,0,0,0,0,data/raw/2026-09-10/trip-updates-233340.pb
2026-09-10T23:34:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:36:31+00:00,trip-updates,1789083353,13,0,0,0,0,data/raw/2026-09-10/trip-updates-233553.pb
2026-09-10T23:36:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-10T23:38:31+00:00,trip-updates,1789083460,13,0,0,0,0,data/raw/2026-09-10/trip-updates-233740.pb
2026-09-10T23:38:31+00:00,service-alerts,1789019121,8368,5,0,0,5,
2026-09-11T11:34:32+00:00,trip-updates,1789126435,13,0,0,0,0,data/raw/2026-09-11/trip-updates-113355.pb
2026-09-11T11:34:32+00:00,service-alerts,1789117228,9237,6,0,0,6,data/raw/2026-09-11/service-alerts-090028.pb
2026-09-11T11:42:32+00:00,trip-updates,1789126905,13,0,0,0,0,data/raw/2026-09-11/trip-updates-114145.pb
2026-09-11T11:42:33+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T11:48:32+00:00,trip-updates,1789127280,13,0,0,0,0,data/raw/2026-09-11/trip-updates-114800.pb
2026-09-11T11:48:33+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T11:50:32+00:00,trip-updates,1789127381,13,0,0,0,0,data/raw/2026-09-11/trip-updates-114941.pb
2026-09-11T11:50:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T11:52:30+00:00,trip-updates,1789127506,13,0,0,0,0,data/raw/2026-09-11/trip-updates-115146.pb
2026-09-11T11:52:31+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T11:54:31+00:00,trip-updates,1789127630,13,0,0,0,0,data/raw/2026-09-11/trip-updates-115350.pb
2026-09-11T11:54:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:09:06+00:00,trip-updates,1789128520,13,0,0,0,0,data/raw/2026-09-11/trip-updates-120840.pb
2026-09-11T12:09:09+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:10:33+00:00,trip-updates,1789128580,13,0,0,0,0,data/raw/2026-09-11/trip-updates-120940.pb
2026-09-11T12:10:34+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:14:31+00:00,trip-updates,1789128835,13,0,0,0,0,data/raw/2026-09-11/trip-updates-121355.pb
2026-09-11T12:14:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:18:32+00:00,trip-updates,1789129073,13,0,0,0,0,data/raw/2026-09-11/trip-updates-121753.pb
2026-09-11T12:18:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:26:32+00:00,trip-updates,1789129540,13,0,0,0,0,data/raw/2026-09-11/trip-updates-122540.pb
2026-09-11T12:26:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:30:32+00:00,trip-updates,1789129781,13,0,0,0,0,data/raw/2026-09-11/trip-updates-122941.pb
2026-09-11T12:30:33+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:40:32+00:00,trip-updates,1789130378,13,0,0,0,0,data/raw/2026-09-11/trip-updates-123938.pb
2026-09-11T12:40:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T12:44:32+00:00,trip-updates,1789130616,13,0,0,0,0,data/raw/2026-09-11/trip-updates-124336.pb
2026-09-11T12:44:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T13:00:31+00:00,trip-updates,1789131590,13,0,0,0,0,data/raw/2026-09-11/trip-updates-125950.pb
2026-09-11T13:00:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T13:08:32+00:00,trip-updates,1789132074,13,0,0,0,0,data/raw/2026-09-11/trip-updates-130754.pb
2026-09-11T13:08:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T13:10:30+00:00,trip-updates,1789132195,13,0,0,0,0,data/raw/2026-09-11/trip-updates-130955.pb
2026-09-11T13:10:31+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T13:12:30+00:00,trip-updates,1789132315,13,0,0,0,0,data/raw/2026-09-11/trip-updates-131155.pb
2026-09-11T13:12:31+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T13:14:30+00:00,trip-updates,1789132434,13,0,0,0,0,data/raw/2026-09-11/trip-updates-131354.pb
2026-09-11T13:14:31+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T13:16:31+00:00,trip-updates,1789132555,13,0,0,0,0,data/raw/2026-09-11/trip-updates-131555.pb
2026-09-11T13:16:32+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T13:22:34+00:00,trip-updates,1789132897,13,0,0,0,0,data/raw/2026-09-11/trip-updates-132137.pb
2026-09-11T13:22:34+00:00,service-alerts,1789117228,9237,6,0,0,6,
2026-09-11T16:32:32+00:00,trip-updates,1789144300,13,0,0,0,0,data/raw/2026-09-11/trip-updates-163140.pb
2026-09-11T16:32:32+00:00,service-alerts,1789137379,12842,7,0,0,7,data/raw/2026-09-11/service-alerts-143619.pb
2026-09-11T16:34:32+00:00,trip-updates,1789144425,13,0,0,0,0,data/raw/2026-09-11/trip-updates-163345.pb
2026-09-11T16:34:32+00:00,service-alerts,1789137379,12842,7,0,0,7,
